date,bnf_code,nm,median_price_per_unit
2010-08-01 00:00:00+00:00,0601060D0BEABA0,Hypoguard Supreme testing strips,0.24
2010-09-01 00:00:00+00:00,0601060D0BEABA0,Hypoguard Supreme testing strips,0.24
2010-10-01 00:00:00+00:00,0601060D0BEABA0,Hypoguard Supreme testing strips,0.24
2010-11-01 00:00:00+00:00,0601060D0BEABA0,Hypoguard Supreme testing strips,0.24
2010-12-01 00:00:00+00:00,0601060D0BEABA0,Hypoguard Supreme testing strips,0.24
2010-08-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2010-09-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2010-10-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2010-11-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2010-12-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-01-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-02-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-03-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-04-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-05-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-06-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-07-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2918
2011-08-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2968
2011-09-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2968
2011-10-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2968
2011-11-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2968
2011-12-01 00:00:00+00:00,0601060D0BHAAA0,OneTouch testing strips,0.2968
2010-08-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2010-09-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2010-10-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2010-11-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2010-12-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-01-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-02-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-03-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-04-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-05-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-06-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-07-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.295
2011-08-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2011-09-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2011-10-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2011-11-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2011-12-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-01-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-02-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-03-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-04-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-05-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-06-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-07-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3
2012-08-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2012-09-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2012-10-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2012-11-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2012-12-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-01-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-02-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-03-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-04-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-05-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-06-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-07-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
2013-08-01 00:00:00+00:00,0601060D0BHABA0,OneTouch Ultra testing strips,0.3054
